RA,Fase,Turma,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Avaliador2,Avaliador3,Avaliador4,IAA,IEG,IPS,IDA,Mat,Por,Ing,IPV,IAN,Fase_Ideal,Defasagem,IPP,INDE 23,INDE_ano_atual,pedra_ano_atual,ano,Fase_Ideal_1,Fase_Ideal_2
RA-1,7,A,Feminino,2016,Escola Pública,Ametista,Ametista,Quartzo,5.783,753.0,18.0,10.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.3,4.1,5.6,4.0,2.7,3.5,6.0,7.278,5.0,Fase 8 (Universitários),-1,7.3125,,5.783,Quartzo,2022,Fase 8,Universitários
RA-2,7,A,Feminino,2017,Rede Decisão,Ametista,Ametista,Ametista,7.055,469.0,8.0,3.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.8,5.2,6.3,6.8,6.3,4.5,9.7,6.778,10.0,Fase 7 (3º EM),0,7.893999999999997,,7.055,Ametista,2022,Fase 7,3° EM
RA-3,7,A,Feminino,2016,Rede Decisão,Ametista,Ametista,Ágata,6.591,629.0,13.0,6.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,7.9,5.6,5.6,5.8,4.0,6.9,7.556,10.0,Fase 7 (3º EM),0,8.197999999999999,,6.591,Ágata,2022,Fase 7,3° EM
RA-4,7,A,Masculino,2017,Rede Decisão,Ametista,Ametista,Quartzo,5.951,731.0,15.0,7.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.8,4.5,5.6,5.0,2.8,3.5,8.7,5.278,10.0,Fase 7 (3º EM),0,5.553999999999997,,5.951,Quartzo,2022,Fase 7,3° EM
RA-5,7,A,Feminino,2016,Rede Decisão,Ametista,Ametista,Ametista,7.427,344.0,6.0,2.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,7.9,8.6,5.6,5.2,7.0,2.9,5.7,7.389,10.0,Fase 7 (3º EM),0,8.392,,7.427,Ametista,2022,Fase 7,3° EM
RA-6,7,A,Feminino,2021,Escola Pública,,Ágata,Quartzo,5.848,745.0,16.0,8.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,7.9,4.5,7.5,3.3,2.3,5.3,2.3,7.222,5.0,Fase 8 (Universitários),-1,7.1875,,5.848,Quartzo,2022,Fase 8,Universitários
RA-7,7,A,Masculino,2017,Rede Decisão,Ametista,Ametista,Ágata,6.818,550.0,11.0,5.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,8.4,7.5,7.6,8.2,5.7,9.0,7.667,5.0,Fase 8 (Universitários),-1,7.59375,,6.818,Ágata,2022,Fase 8,Universitários
RA-8,7,A,Feminino,2018,Escola Pública,Quartzo,Ágata,Quartzo,4.786,836.0,21.0,13.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,7.1,4.6,6.3,1.6,1.2,0.7,2.9,6.278,5.0,Fase 8 (Universitários),-1,7.34375,,4.786,Quartzo,2022,Fase 8,Universitários
RA-9,7,A,Feminino,2019,Escola Pública,Ametista,Ametista,Topázio,8.109,113.0,1.0,1.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.8,9.5,7.5,6.7,5.5,6.0,8.7,9.5,5.0,Fase 8 (Universitários),-1,7.80625,,8.109,Topázio,2022,Fase 8,Universitários
RA-10,7,A,Feminino,2021,Escola Pública,,Ágata,Quartzo,5.784,752.0,17.0,9.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,8.3,5.2,5.0,4.1,3.3,2.6,6.4,7.056,5.0,Fase 8 (Universitários),-1,7.1875,,5.784,Quartzo,2022,Fase 8,Universitários
RA-11,7,A,Feminino,2016,Escola Pública,Quartzo,Ágata,Quartzo,5.323,799.0,19.0,11.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,9.2,4.2,5.0,3.0,1.8,2.5,4.5,6.389,5.0,Fase 8 (Universitários),-1,7.1875,,5.323,Quartzo,2022,Fase 8,Universitários
RA-12,7,A,Feminino,2020,Escola Pública,Ágata,Ágata,Quartzo,4.832,834.0,20.0,12.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,0.0,4.0,6.9,1.5,2.7,1.1,0.7,6.389,10.0,Fase 7 (3º EM),0,7.641999999999998,,4.832,Quartzo,2022,Fase 7,3° EM
RA-13,7,A,Masculino,2016,Escola Pública,Ametista,Ametista,Ágata,6.902,524.0,10.0,4.0,4.0,Avaliador-5,Avaliador-27,Avaliador-28,Avaliador-31,7.9,7.4,7.5,4.7,3.5,5.5,5.2,8.056,5.0,Fase 8 (Universitários),-1,7.70625,,6.902,Ágata,2022,Fase 8,Universitários
RA-14,7,D,Masculino,2022,Escola Pública,,,Ágata,6.793,558.0,12.0,7.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,7.9,8.3,7.5,4.0,8.0,0.0,,7.75,5.0,Fase 8 (Universitários),-1,7.58125,,6.793,Ágata,2022,Fase 8,Universitários
RA-15,7,D,Masculino,2022,Escola Pública,,,Ametista,7.783,207.0,3.0,2.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,8.8,10.0,7.5,7.3,8.0,6.5,,7.292,5.0,Fase 8 (Universitários),-1,7.80625,,7.783,Ametista,2022,Fase 8,Universitários
RA-16,7,D,Masculino,2022,Escola Pública,,,Ágata,6.112,706.0,14.0,8.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,7.9,8.3,5.0,3.5,7.0,0.0,,6.333,5.0,Fase 8 (Universitários),-1,7.34375,,6.112,Ágata,2022,Fase 8,Universitários
RA-17,7,D,Masculino,2022,Escola Pública,,,Topázio,8.068,125.0,2.0,1.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,8.8,10.0,7.5,7.8,9.0,6.5,,8.292,5.0,Fase 8 (Universitários),-1,7.80625,,8.068,Topázio,2022,Fase 8,Universitários
RA-18,7,D,Masculino,2022,Escola Pública,,,Ametista,7.226,418.0,7.0,5.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,6.3,8.7,6.3,9.0,9.0,9.0,,6.875,5.0,Fase 8 (Universitários),-1,7.50625,,7.226,Ametista,2022,Fase 8,Universitários
RA-19,7,D,Feminino,2022,Escola Pública,,,Ametista,7.665,248.0,4.0,3.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,7.9,9.5,7.5,8.0,7.0,9.0,,7.0,5.0,Fase 8 (Universitários),-1,7.80625,,7.665,Ametista,2022,Fase 8,Universitários
RA-20,7,D,Feminino,2022,Escola Pública,,,Ametista,7.535,296.0,5.0,4.0,4.0,Avaliador-6,Avaliador-27,Avaliador-29,Avaliador-31,7.1,10.0,6.3,7.8,9.0,6.5,,7.167,5.0,Fase 8 (Universitários),-1,7.50625,,7.535,Ametista,2022,Fase 8,Universitários
